"family","семья","familio"
"sack","мешок","Sako"
"shoulder bag","сумка на ремне","ŝultrosako"
"suitcase","чемодан","Valizo"
"saddlebag","седельный вьюк","Selosako"
"hair tie","резинка для волос","harligilo"
"earmuffs","меховые наушники","Orelŝirmiloj"
"headband","повязка на голову","kapbendo"
"headscarf","платок","Kaptuko"
"veil","вуаль","vualo"
"shawl","шаль","Ŝalo"
"look","внешний вид","Aspekto"
"bob","каре","bobo"
"Afro","афро","afro"
"perm","перманент","Permanento"
"parting","пробор","Harfendo"
"wig","парик","Peruko"
"curl","локон","Buklo"
"manicure","маникюр","manikuro"
"pedicure","педикюр","pedikuro"
"nail file","пилочка","ungofajlilo"
"nail scissors","маникюрные ножницы","ungotondilo"
"nail clippers","кусачки для ногтей","Ungotondilo"
"aesthetic","эстетический","estetika"
"buttonhole","петля","Butontruo"
"collar","воротник","Kolumo"
"sleeve","рукав","maniko"
"hood","капюшон","Kapuĉo"
"hem","подол","Orlo"
"cuff","манжет","Manumo"
"lapel","лацкан","reverso"
"strap","лямка","bretelo"
"mend","штопать","stopi"
"shorten","укорачивать","mallongigi"
"lengthen","удлинять","Longigi"
"widen","расширять","larĝigi"
"knit","вязать","triki"
"fold","складывать","faldi"
"alter","переделывать","ŝanĝi"
"explanation","объяснение","klarigo"
"feedback","обратная связь","retroinformo"
"mistake","ошибка","eraro"
"mark","отметка","marko"
"check","проверять","kontroli"
"rule","правило","regulo"
"exception","исключение","Escepto"
"dictation","диктант","diktado"
"riddle","загадка","Enigmo"
"science","наука","scienco"
"study","изучение","studado"
"course","курс","kurso"
"lecture","лекция","prelego"
"seminar","семинар","seminario"
"essay","эссе","Eseo"
"evaluation","оценивание","taksado"
"exam","экзамен","ekzameno"
"research","исследование","esploro"
"hypothesis","гипотеза","Hipotezo"
"experiment","эксперимент","Eksperimento"
"theory","теория","teorio"
"invention","изобретение","invento"
"discovery","открытие","malkovro"
"thesis","дипломная работа","tezo"
"calculation","вычисление","kalkulo"
"even number","чётное число","para nombro"
"odd number","нечётное число","nepara nombro"
"double","удваивать","duobligi"
"triple","утраивать","Triobligi"
"geometry","геометрия","geometrio"
"perimeter","периметр","Perimetro"
"area","площадь","areo"
"point","точка","punkto"
"centre","центр","centro"
"matter","материя","materio"
"particle","частица","Partiklo"
"atom","атом","atomo"
"ion","ион","jono"
"electron","электрон","elektrono"
"nucleus","ядро","Nukleo"
"neutron","нейтрон","neŭtrono"
"proton","протон","protono"
"space","космическое пространство","Kosmo"
"full moon","полная луна","Plenluno"
"new moon","молодой месяц","novluno"
"satellite","спутник","satelito"
"cosmos","космос","kosmo"
"weightlessness","невесомость","senpezeco"
"spaceship","космический корабль","Kosmoŝipo"
"astronaut","астронавт","Astronaŭto"
"telescope","телескоп","Teleskopo"
"solution","раствор","Solvaĵo"
"acid","кислота","acido"
"toxic","токсичный","Toksa"
"chemical","химический","kemia"
"ozone","озон","ozono"
"neon","неон","Neono"
"sodium","натрий","natrio"
"calcium","кальций","kalcio"
"helium","гелий","heliumo"
"silicon","кремний","Silicio"
"genetics","генетика","genetiko"
"DNA","ДНК","DNA"
"genome","геном","genomo"
"gene","ген","geno"
"chromosome","хромосома","Kromosomo"
"organism","организм","Organismo"
"hybrid","гибрид","hibrido"
"clone","клон","Klono"
"metamorphosis","метаморфоза","Metamorfozo"
"decomposition","разложение","malkomponiĝo"
"photosynthesis","фотосинтез","Fotosintezo"
"chloroplast","хлоропласт","Kloroplasto"
"mitochondrion","митохондрия","mitokondrio"
"Petri dish","чашка Петри","Petri-plado"
"multicellular","многоклеточный","plurĉela"
"biological","биологический","biologia"
"equator","экватор","Ekvatoro"
"longitude","долгота","longitudo"
"latitude","широта","latitudo"
"altitude","высота","alteco"
"meridian","меридиан","Meridiano"
"pole","полюс","poluso"
"hemisphere","полушарие","hemisfero"
"compass","компас","Kompaso"
"history","история","Historio"
"archaeology","археология","arkeologio"
"geology","геология","geologio"
"demography","демография","demografio"
"population","население","loĝantaro"
"border","граница","limo"
"zone","зона","zono"
"surface","поверхность","Surfaco"
"linguistics","лингвистика","Lingvistiko"
"stylistics","стилистика","Stilistiko"
"synonym","синоним","Sinonimo"
"antonym","антоним","antonimo"
"singular","единственное число","singularo"
"plural","множественное число","pluralo"
"phonetics","фонетика","Fonetiko"
"pronunciation","произношение","prononco"
"intonation","интонация","intonacio"
"dialect","диалект","dialekto"
"accent","акцент","akcento"
"tone","тон","Tono"
"spelling","правописание","ortografio"
"geologist","геолог","geologo"
"ecologist","эколог","Ekologo"
"geneticist","генетик","genetikisto"
"microbiologist","микробиолог","Mikrobiologo"
"biochemist","биохимик","Biokemiisto"
"botanist","ботаник","Botanikisto"
"zoologist","зоолог","Zoologo"
"bacteriologist","бактериолог","Bakteriologo"
"oceanographer","океанолог","oceanologo"
"mycologist","миколог","Mikologo"
"cashier","кассир","Kasisto"
"salesman","продавец","Vendisto"
"butcher","мясник","Buĉisto"
"baker","пекарь","bakisto"
"fishmonger","рыботорговец","Fiŝvendisto"
"confectioner","кондитер","Konfitisto"
"chef","шеф-повар","ĉefkuiristo"
"sommelier","сомелье","Someliero"
"job","работа","laboro"
"tailor","портниха","Tajlorino"
"lecturer","лектор","preleganto"
"hairdresser","парикмахер","Frizisto"
"barber","мужской парикмахер","Barbiro"
"housekeeper","домработница","Mastrumistino"
"potter","гончар","Potisto"
"sculptor","скульптор","Skulptisto"
"barman","бармен","Baristo"
"producer","продюсер","produktoro"
"advisor","советник","konsilanto"
"editor","редактор","Redaktoro"
"critic","критик","kritikisto"
"publisher","издатель","eldonisto"
"biographer","биограф","Biografo"
"ghostwriter","литературный призрак","Fantomverkisto"
"bookseller","продавец книг","Librovendisto"
"archivist","архивариус","arkivisto"
"antiquarian","антиквар","antikvisto"
"stunt double","дублёр","kaskadisto"
"diplomat","дипломат","Diplomato"
"deputy","заместитель","Anstataŭanto"
"observer","наблюдатель","Observanto"
"analyst","аналитик","Analizisto"
"philosopher","философ","Filozofo"
"paparazzo","папарацци","Paparaco"
"bookmaker","букмекер","vetisto"
"usher","капельдинер","lokigisto"
"management","управление","administrado"
"meeting","собрание","Kunveno"
"project","проект","projekto"
"leader","лидер","gvidanto"
"staff","штат","personaro"
"teamwork","коллективная работа","teamlaboro"
"duty","обязанность","devo"
"shift","смена","deĵoro"
"employment","занятость","dungiteco"
"income","доход","enspezo"
"rise","прибавка","altigo"
"pension","пенсия","pensio"
"payday","день выплаты зарплаты","Pagtago"
"promotion","повышение","promocio"
"earn","зарабатывать","gajni"
"employ","нанимать","dungi"
"service","услуга","servo"
"logo","логотип","emblemo"
"brand","марка","Marko"
"franchise","франшиза","Franĉizo"
"import","импорт","importo"
"export","экспорт","eksporto"
"logistics","логистика","logistiko"
"profit","прибыль","Profito"
"agreement","соглашение","interkonsento"
"corporation","корпорация","Korporacio"
"organisation","организация","organizo"
"cooperation","сотрудничество","Kunlaboro"
"association","ассоциация","Asocio"
"partnership","партнёрство","partnereco"
"committee","комитет","Komitato"
"marketing","маркетинг","merkatiko"
"negotiate","вести переговоры","negoci"
"contract","заключать контракт","kontrakti"
"fee","плата","kotizo"
"tax","налог","imposto"
"duty","пошлина","imposto"
"fund","фонд","fonduso"
"investment","инвестиция","Investo"
"financial","финансовый","financa"
"capital","капитал","Kapitalo"
"form","бланк","formularo"
"economic","экономический","ekonomia"
"finance","финансировать","financi"
"invest","инвестировать","investi"
"sponsor","спонсировать","sponsori"
"biography","биография","biografio"
"autobiography","автобиография","Aŭtobiografio"
"memoir","мемуары","memuaroj"
"manuscript","рукопись","Manuskripto"
"draft","черновик","malneto"
"tragedy","трагедия","tragedio"
"epic poem","эпическая поэма","Epopeo"
"epistolary novel","эпистолярный роман","epistola romano"
"saga","сага","Sagao"
"introduction","введение","Enkonduko"
"preface","предисловие","Antaŭparolo"
"paragraph","абзац","Alineo"
"bibliography","библиография","bibliografio"
"appendix","аппендикс","Apendico"
"supplement","приложение","aldonaĵo"
"index","индекс","indekso"
"context","контекст","Konteksto"
"motif","мотив","Motivo"
"intrigue","интрига","Intrigo"
"narrate","рассказывать","rakonti"
"summarize","резюмировать","resumi"
"quote","цитировать","citi"
"discography","дискография","Diskografio"
"playlist","плейлист","Ludlisto"
"karaoke","караоке","karaokeo"
"lyrics","текст песни","Kantoteksto"
"chorus","припев","Refreno"
"ensemble","ансамбль","ensemblo"
"duet","дуэт","Dueto"
"quartet","квартет","kvarteto"
"singing","пение","Kantado"
"accompaniment","аккомпанемент","akompano"
"songwriter","автор песен","kantverkisto"
"solo","соло","Solo"
"virtuoso","виртуоз","Virtuozo"
"timbre","тембр","timbro"
"octave","октава","Oktavo"
"chord","аккорд","Akordo"
"acoustic","акустический","akustika"
"drum kit","ударная установка","Tamburaro"
"drumsticks","барабанные палочки","Tamburbastonetoj"
"kettledrum","литавра","timpano"
"gong","гонг","gongo"
"tambourine","бубен","Tamburino"
"glockenspiel","глокеншпиль","glokenspielo"
"tune","настраивать","agordi"
"bugle","горн","Buglo"
"oboe","гобой","hobojo"
"bass clarinet","басовый кларнет","basa klarneto"
"bassoon","фагот","fagoto"
"piccolo","пикколо","Pikolo"
"mouthpiece","мундштук","buŝpeco"
"technique","техника","tekniko"
"collage","коллаж","Kolaĝo"
"graffiti","граффити","grafitaĵo"
"fresco","фреска","Fresko"
"arabesque","арабеска","arabesko"
"self-portrait","автопортрет","Memportreto"
"stencil","трафарет","ŝablono"
"perspective","перспектива","perspektivo"
"background","фон","fono"
"stripe","полоска","strio"
"outline","контур","Konturo"
"mural","мураль","murpentraĵo"
"pixel","пиксель","pikselo"
"viewfinder","видоискатель","celilo"
"tripod","штатив","Tripiedo"
"case","футляр","ujo"
"selfie","селфи","memfoto"
"resolution","разрешение","Rezolucio"
"flash","вспышка","ekbrilo"
"red-eye","эффект красных глаз","ruĝokula efekto"
"watermark","водяной знак","akvomarko"
"ogre","огр","Ogro"
"troll","тролль","Trolo"
"goblin","гоблин","goblino"
"elf","эльф","elfo"
"hobbit","хоббит","hobito"
"mythology","мифология","mitologio"
"centaur","кентавр","Centaŭro"
"minotaur","минотавр","Minotaŭro"
"Cyclops","циклоп","Ciklopo"
"angel","ангел","anĝelo"
"demon","демон","Demono"
"immortal","бессмертный","senmorta"
"mystical","мистический","mistika"
"occultism","оккультизм","okultismo"
"alchemy","алхимия","alkemio"
"immortality","бессмертие","Senmorteco"
"potion","зелье","Pocio"
"filmmaker","кинематографист","filmisto"
"production","производство","produktado"
"cast","актёрский состав","Aktoraro"
"footage","отснятый материал","filmaĵo"
"cutting","монтаж","Muntado"
"arena","арена","Areno"
"ballroom","бальный зал","balsalono"
"applause","аплодисменты","aplaŭdo"
"rehearse","репетировать","provludi"
"perform","исполнять","plenumi"
"rehearsal","репетиция","provludo"
"premiere","премьера","Premiero"
"repertoire","репертуар","Repertuaro"
"theatre programme","театральная программа","teatra programo"
"spotlight","прожектор","Projektoro"
"recreation","отдых","ripozo"
"stamp collecting","коллекционирование марок","filatelo"
"bungee jumping","прыжок на эластичном тросе","bunĝosaltado"
"lottery","лотерея","Loterio"
"entertain","развлекать","amuzi"
"craft","ремесло","metio"
"carving","резьба","skulptaĵo"
"patchwork","лоскутное шитье","peckovraĵo"
"weaving","ткачество","teksado"
"tourist office","туристический офис","turista oficejo"
"tour bus","туристический автобус","turisma buso"
"car hire","аренда автомобилей","aŭtoluado"
"itinerary","маршрут","Itinero"
"ecotourism","экотуризм","ekoturismo"
"expedition","экспедиция","Ekspedicio"
"hike","пеший поход","Piedmigrado"
"route","рейс","kurso"
"traveller","путешественник","Vojaĝanto"
"buoy","буй","Buo"
"life jacket","спасательный жилет","savvesto"
"tide","прилив","tajdo"
"shade","тень","ombro"
"dive","нырять","Plonĝi"
"insect repellent","аэрозоль от насекомых","insektoforpelilo"
"firelighter","пьезозажигалка","Piezofajrilo"
"charcoal","древесный уголь","Lignokarbo"
"flame","пламя","Flamo"
"light a fire","разжечь огонь","ekbruligi fajron"
"fishing permit","разрешение на вылов","fiŝkaptpermesilo"
"tackle box","ящик для снастей","fiŝkaptila skatolo"
"fishing reel","катушка рыболовная","fiŝkaptbobeno"
"waders","болотные сапоги","Vadbotoj"
"creel","корзина для рыбы","Fiŝkorbo"
"king","король","reĝo"
"queen","ферзь","Damo"
"knight","конь","Ĉevalo"
"bishop","слон","Kuriero"
"rook","ладья","Turo"
"pawn","пешка","Peono"
"speed skating","конькобежный спорт","rapidosketado"
"snowboarding","сноубординг","neĝtabulado"
"mountaineering","альпинизм","alpinismo"
"luge","санный спорт","luĝo"
"ski jumping","прыжки на лыжах с трамплина","skisaltado"
"slalom","слалом","slalomo"
"alpine skiing","горнолыжный спорт","alpa skiado"
"cross-country skiing","лыжный кросс","terkura skiado"
"triathlon","триатлон","Triatlono"
"kickboxing","кикбоксинг","piedboksado"
"snooker","снукер","snukero"
"rock climbing","скалолазание","rokgrimpado"
"motocross","мотокросс","Motokroso"
"bodybuilding","культуризм","korpokonstruado"
"waterskiing","воднолыжный спорт","Akvoskiado"
"water polo","водное поло","akvopolo"
"windsurfing","виндсёрфинг","ventoserfo"
"scuba diving","плавание с аквалангом","skubplongado"
"artistic swimming","синхронное плавание","artisma naĝado"
"rafting","рафтинг","raftado"
"box","боксировать","boksi"
"cycle","крутить педали","pedali"
"flex","напрягать","streĉi"
"squat","приседать","Kaŭri"
"pull up","подтягиваться","suprentiriĝi"
"boxing gloves","боксёрские перчатки","boksogantoj"
"mouthguard","капа","buŝoŝirmilo"
"punchbag","боксёрская груша","boksosako"
"dumb-bell","гантель","haltero"
"chronometer","хронометр","Kronometro"
"practice","практика","praktiko"
"tournament","турнир","turniro"
"final","финал","Finalo"
"quarter-final","четверть финала","kvaronfinalo"
"semifinal","полуфинал","duonfinalo"
"scoreboard","табло","Poentotabulo"
"finishing line","финишная черта","Finlinio"
"timeout","тайм-аут","tajmaŭto"
"compete","соревноваться","Konkuri"
"pass","передавать мяч","pasigi"
"practise","практиковаться","praktiki"
"ride","ездить верхом","rajdi"
"award","награждать","premii"
"penalize","штрафовать","puni"
"race","участвовать в гонках","vetkuri"
"catch","ловить","kapti"
"football player","футболист","futbalisto"
"basketball player","баскетболист","Basketbalisto"
"volleyballer","волейболист","volejbalisto"
"tennis player","теннисист","tenisisto"
"jockey","жокей","Ĵokeo"
"skier","лыжник","Skianto"
"golfer","гольфист","golfisto"
"ice hockey player","хоккеист","Hokeisto"
"registration","регистрация","registrado"
"room service","обслуживание номеров","ĉambroservo"
"maid service","уборка номеров","ĉambropurigado"
"guesthouse","гостевой дом","gastejo"
"visitor","посетитель","Vizitanto"
"foyer","фойе","foajeo"
"all-inclusive","всё включено","ĉioinkluziva"
"bed and breakfast","номер с завтраком","ĉambro kun matenmanĝo"
"nightclub","ночной клуб","Noktoklubo"
"reservation","резервирование","rezervado"
"tavern","таверна","Taverno"
"snack bar","закусочная","bufedo"
"steakhouse","бифштексная","Bifstekejo"
"historic building","историческое здание","historia konstruaĵo"
"remains","развалины","Ruinoj"
"city hall","мэрия","Urbodomo"
"exhibition","выставка","ekspozicio"
"entrance fee","входная плата","eniropago"
"repair","починка","riparo"
"Venetian blind","жалюзи","ĵaluzio"
"arcade","аркада","Arkado"
"pedestal","пьедестал","Piedestalo"
"tube","трубка","tubo"
"dome","купол","Kupolo"
"barrier","преграда","baro"
"renovate","восстанавливать","Renovigi"
"demolish","сносить","malkonstrui"
"collapse","обваливаться","kolapsi"
"escalator","эскалатор","eskalatoro"
"dungeon","темница","karcero"
"aqueduct","акведук","akvedukto"
"bricklayer","каменщик","masonisto"
"cornice","карниз","kornico"
"gargoyle","гаргулья","Gargojlo"
"spire","шпиль","turpinto"
"pylon","пилон","Pilono"
"debris","обломки","ruboj"
"drainpipe","водосточная труба","deflutubo"
"metropolis","метрополис","Metropolo"
"colony","колония","Kolonio"
"kingdom","королевство","Reĝlando"
"principality","княжество","Princlando"
"petrol station","бензоколонка","benzinejo"
"car wash","автомойка","aŭtolavejo"
"double-decker","двухэтажный автобус","duetaĝa buso"
"fare","плата за проезд","veturtarifo"
"accelerate","ускорять","akceli"
"brake","тормозить","Bremsi"
"saloon car","седан","sedano"
"crossover","кроссовер","Krosovero"
"hatchback","хэтчбэк","hatĉbako"
"estate car","универсал","kombiaŭto"
"minivan","минивэн","Minifurgono"
"aircraft","воздушное судно","aviadilo"
"fighter plane","истребитель","ĉasaviadilo"
"private jet","частный самолёт","privata jeto"
"seaplane","гидросамолёт","hidroaviadilo"
"airliner","авиалайнер","pasaĝeraviadilo"
"board","подниматься на борт","enŝipiĝi"
"fuselage","фюзеляж","fuzelaĝo"
"wing","крыло","flugilo"
"propeller","пропеллер","helico"
"cockpit","кабина экипажа","Pilotejo"
"radar","радар","radaro"
"joystick","рычаг управления","stirstango"
"sailing boat","парусник","velboato"
"rowing boat","шлюпка","Remboato"
"kayak","каяк","Kajako"
"trimaran","тримаран","Trimarano"
"catamaran","катамаран","katamarano"
"icebreaker","ледокол","Glacirompilo"
"aboard","на борту","surŝipe"
"shipyard","верфь","ŝipkonstruejo"
"seaman","матрос","maristo"
"schooner","шхуна","skuno"
"flagship","флагман","Flagŝipo"
"tanker","танкер","Tankero"
"battleship","линейный корабль","Batalŝipo"
"cruiser","крейсер","krozŝipo"
"gunboat","канонерская лодка","kanonboato"
"traffic lights","светофор","trafiklumo"
"roadworks","дорожные работы","vojlaboroj"
"artery","транспортная артерия","arterio"
"subway","подземный переход","Subpasejo"
"ditch","канава","fosaĵo"
"vehicle audio","магнитола","aŭtoradio"
"sunroof","люк","sunluko"
"gear","передача","rapidumo"
"gearbox","коробка передач","rapidumujo"
"gearstick","рычаг переключения передач","Rapidumlevilo"
"bumper","бампер","Bufro"
"bonnet","капот","kapoto"
"flat tyre","спустившееся колесо","plata pneŭo"
"spare tyre","запасное колесо","rezerva rado"
"hubcap","колпак","Nabokovrilo"
"programme","передача","elsendo"
"presenter","телеведущая","Prezentistino"
"episode","серия","Epizodo"
"recording","запись","Registraĵo"
"operation","операция","operacio"
"interface","интерфейс","Interfaco"
"font","шрифт","Tiparo"
"click","клик","klako"
"access","иметь доступ","aliri"
"delete","удалять","forigi"
"informatics","информатика","informatiko"
"technology","технология","teknologio"
"hacker","хакер","Hakero"
"radiation","радиация","radiado"
"virtual","виртуальный","virtuala"
"digital","цифровой","cifera"
"network","сеть","Reto"
"server","сервер","Servilo"
"modem","модем","modemo"
"router","роутер","Enkursigilo"
"wireless","беспроводной","Sendrata"
"portal","портал","portalo"
"social network","социальная сеть","socia reto"
"profile","профиль","profilo"
"feed","лента новостей","fluo"
"comment","комментарий","komento"
"subscriber","подписчик","Abonanto"
"notification","уведомление","sciigo"
"display","дисплей","ekrano"
"call","звонок","voko"
"ringtone","мелодия на звонок","sonorilo"
"vibrate","вибрировать","Vibri"
"contact","связаться","kontakti"
"headline","заголовок","titolo"
"poster","плакат","Afiŝo"
"sources","источники","fontoj"
"interviewer","интервьюер","Intervjuanto"
"advertise","рекламировать","Reklami"
"address","адресовать","adresi"
"deliver","доставлять","liveri"
"dispatch","высылать","ekspedi"
"receive","получать","ricevi"
"inspector","инспектор","Inspektoro"
"investigator","следователь","Esploristo"
"criminologist","криминалист","Kriminologo"
"eyewitness","очевидец","okulatestanto"
"informer","осведомитель","denuncanto"
"accomplice","сообщник","komplico"
"photofit","фоторобот","identiga portreto"
"holding cell","изолятор временного содержания","arestĉelo"
"criminal record","криминальное досье","krimdosiero"
"search","розыск","serĉo"
"arrest","арест","Aresto"
"confession","признание","konfeso"
"escape","побег","fuĝo"
"theft","кража","ŝtelo"
"arson","поджог","incendiigo"
"rape","изнасилование","Perfortado"
"bribery","взяточничество","koruptado"
"treason","государственная измена","perfido"
"piracy","пиратство","piratado"
"hooliganism","хулиганство","huliganismo"
"shooting","стрельба","Pafado"
"kill","убивать","mortigi"
"steal","воровать","ŝteli"
"choke","душить","Sufoki"
"kidnap","похищать","kidnapi"
"poison","отравлять","veneni"
"spy","шпионить","spioni"
"intrude","вторгаться","entrudi"
"bandit","бандит","Bandito"
"robber","грабитель","Rabisto"
"intruder","взломщик","Enrompisto"
"pirate","пират","Pirato"
"bomber","бомбардировщик","Bombaviadilo"
"murderer","убийца","murdisto"
"fugitive","беглец","fuĝulo"
"burglar","вор-взломщик","Rompoŝtelisto"
"aggressor","агрессор","Agresanto"
"criminal","криминальный","krima"
"testimony","свидетельские показания","atestado"
"oath","клятва","ĵuro"
"proof","доказательство","Pruvo"
"alibi","алиби","Alibio"
"evidence","свидетельство","atesto"
"legal","законный","laŭleĝa"
"lawsuit","судебный иск","proceso"
"accusation","обвинение","Akuzo"
"prosecution","обвиняющая сторона","akuzantaro"
"defence","защита","defendo"
"verdict","вердикт","Verdikto"
"innocent","невиновный","Senkulpa"
"guilty","виновный","kulpa"
"general","генерал","Generalo"
"officer","офицер","Oficiro"
"admiral","адмирал","Admiralo"
"commander","командир","Komandanto"
"captain","капитан","kapitano"
"major","майор","Majoro"
"cadet","кадет","kadeto"
"military","военный","milita"
"squad","отряд","taĉmento"
"sapper","сапёр","Sapisto"
"paratrooper","десантник","Paraŝutisto"
"recruit","новобранец","Rekruto"
"deserter","дезертир","dezertinto"
"rebellion","восстание","Ribelo"
"defeat","наносить поражение","venki"
"firearm","огнестрельное оружие","Pafilo"
"shotgun","дробовик","ŝrotpafilo"
"rifle","винтовка","Fusilo"
"trigger","курок","ĉano"
"revolver","револьвер","Revolvero"
"musket","мушкет","Musketo"
"calibre","калибр","kalibro"
"gunpowder","порох","pulvo"
"ammunition","боеприпасы","Municio"
"artillery","артиллерия","Artilerio"
"bulletproof","пуленепробиваемый","kugloimuna"
"shoot","стрелять","pafi"
"starve","голодать","malsati"
"survive","выживать","supervivi"
"donate","жертвовать","donaci"
"protect","оберегать","protekti"
"precipitation","осадки","precipitaĵo"
"drizzle","изморось","pluveto"
"snowflake","снежинка","neĝero"
"raindrop","дождинка","Pluvguto"
"icicle","сосулька","Glacipendaĵo"
"hailstone","градина","Hajlero"
"climate","климат","klimato"
"temperate","умеренный","modera"
"tropical","тропический","tropika"
"polar","полярный","polusa"
"calamity","стихийное бедствие","katastrofo"
"cyclone","циклон","Ciklono"
"whirlwind","смерч-вихрь","Ventkirlo"
"sleet","дождь со снегом","Neĝpluvo"
"woodland","лесистая местность","arbaraĵo"
"jungle","джунгли","Ĝangalo"
"rainforest","тропический лес","Pluvarbaro"
"taiga","тайга","tajgo"
"oakwood","дубрава","kverkaro"
"forestry","лесоводство","arbarkulturo"
"land mass","суша","termaso"
"glade","прогалина","klarejo"
"prairie","прерия","Prerio"
"savannah","саванна","Savano"
"tundra","тундра","tundro"
"groundwater","подземная вода","grundakvo"
"watershed","водораздел","akvodislimo"
"puddle","лужа","Flako"
"brook","ручеёк","rivereto"
"pollutants","загрязнители","poluantoj"
"plastic","пластмасса","plastiko"
"sewage","сточная вода","kloakaĵo"
"dirty","грязный","malpura"
"ecosystem","экосистема","Ekosistemo"
"landfill","мусорная свалка","Rubejo"
"smog","смог","smogo"
"purification","очистка","purigado"
"recycle","перерабатывать","recikli"
"pebbles","галька","ŝtonetoj"
"lava","лава","lafo"
"sandstone","песчаник","Sabloŝtono"
"obsidian","обсидиан","Obsidiano"
"alabaster","алебастр","Alabastro"
"malachite","малахит","Malakito"
"opal","опал","opalo"
"moonstone","лунный камень","lunŝtono"
"aquamarine","аквамарин","Akvamarino"
"fluorite","флюорит","fluorito"
"graphite","графит","grafito"
"gypsum","гипс","Gipso"
"asbestos","асбест","asbesto"
"zinc","цинк","zinko"
"alloy","сплав","alojo"
"nugget","самородок","pepito"
"brass","латунь","Latuno"
"tin","олово","Stano"
"cedar","кедр","cedro"
"spruce","ель","Piceo"
"magnolia","магнолия","magnolio"
"pinecone","шишка","strobilo"
"linden","липа","tilio"
"yew","тис","Taksuso"
"beech","бук","fago"
"elm","вяз","ulmo"
"myrtle","мирт","Mirto"
"privet","бирючина","Ligustro"
"hydrangea","гортензия","Hortensio"
"cassava","маниок","manioko"
"rhododendron","рододендрон","Rododendro"
"lotus","лотос","lotuso"
"begonia","бегония","begonio"
"pansy","анютины глазки","Penseo"
"peony","пион","Peonio"
"azalea","азалия","azaleo"
"hyacinth","гиацинт","Hiacinto"
"primrose","примула","Primolo"
"buttercup","лютик","Ranunkolo"
"dahlia","георгина","dalio"
"marigold","календула","kalendulo"
"reed","тростник","kano"
"seaweed","водоросли","algo"
"kelp","ламинария","laminario"
"nettle","крапива","urtiko"
"buckthorn","жостер","Ramno"
"thatch","солома для крыши","tegmentopajlo"
"briar","шиповник","sovaĝrozo"
"shoot","побег","ŝoso"
"chickweed","звездчатка","stelario"
"foxglove","наперстянка","Digitalo"
"sundew","росянка","drozero"
"rapeseed","рапс","kolzo"
"arnica","арника","Arniko"
"hyssop","иссоп","Hisopo"
"periwinkle","барвинок","vinko"
"species","биологический вид","specio"
"nectar","нектар","Nektaro"
"pollen","пыльца","poleno"
"replant","пересаживать","transplanti"
"twig","веточка","Branĉeto"
"sprout","росток","ŝoso"
"growth","рост","Kresko"
"wither","вянуть","Velki"
"rake","загребать","rasti"
"shovel","убирать лопатой","ŝoveli"
"mow","косить","falĉi"
"flower","цвести","Flori"
"ripen","спеть","maturiĝi"
"cultivate","культивировать","kultivi"
"sweep","подметать","Balai"
"fertilise","удобрять","sterki"
"irrigate","орошать","irigacii"
"trap","ловушка","kaptilo"
"seedling","рассада","plantido"
"irrigation","ирригация","Irigacio"
"fertiliser","удобрение","sterko"
"herbicide","гербицид","herbicido"
"sprinkler","разбрызгиватель","aspergilo"
"plough","вспахивать","plugi"
"hoe","мотыжить","sarki"
"harrow","боронить","Erpi"
"llama","лама","lamo"
"alpaca","альпака","alpako"
"zebu","зебу","Zebuo"
"yak","як","jako"
"dromedary","одногорбый верблюд","Dromedaro"
"earthworm","земляной червь","Tervermo"
"breed","порода","Raso"
"hound","охотничья собака","Ĉashundo"
"sheepdog","овчарка","ŝafhundo"
"dachshund","такса","melhundo"
"poodle","пудель","Pudelo"
"German Shepherd","немецкая овчарка","Germana ŝafhundo"
"predator","хищник","rabobesto"
"prey","добыча","Predo"
"gazelle","газель","Gazelo"
"koala","коала","Koalo"
"sloth","ленивец","Bradipo"
"mongoose","мангуст","mangusto"
"lemur","лемур","Lemuro"
"polar bear","полярный медведь","polusa urso"
"sea lion","морской лев","otario"
"beaver","бобёр","Kastoro"
"porcupine","дикобраз","Histriko"
"chipmunk","бурундук","Tamio"
"mink","норка","vizono"
"skunk","скунс","skunko"
"wombat","вомбат","Vombato"
"weasel","хорёк","Putoro"
"opossum","опоссум","Oposomo"
"otter","выдра","Lutro"
"ermine","горностай","Ermeno"
"loon","гагара","Kolimbo"
"tern","крачка","ŝterno"
"mallard","дикая утка","sovaĝanaso"
"finch","зяблик","fringo"
"heron","цапля","ardeo"
"kiwi","птица киви","Kivio"
"toucan","тукан","Tukano"
"oystercatcher","кулик-сорока","hematopo"
"vulture","стервятник","Vulturo"
"hawk","ястреб","akcipitro"
"falcon","сокол","Falko"
"kite","коршун","Milvo"
"gyrfalcon","кречет","girfalko"
"osprey","скопа","Pandiono"
"harrier","лунь","Cirkuo"
"koi carp","карп кои","kojkarpo"
"roach","плотва","ploto"
"argentine","рыба аргентина","argentino"
"sunfish","рыба-луна","molao"
"python","питон","pitono"
"rattlesnake","гремучая змея","Krotalo"
"anaconda","анаконда","Anakondo"
"boa","удав","Boao"
"viper","гадюка","Vipero"
"venom","яд","Veneno"
"venomous","ядовитый","venena"
"orca","косатка","orko"
"porpoise","морская свинья","Foceno"
"cephalopod","головоногий","cefalopodo"
"cuttlefish","каракатица","sepio"
"locust","саранча","akrido"
"earwig","уховёртка","Orelvermo"
"mantis","богомол","Mantiso"
